Strain,WP_000020777.1,WP_000041234.1,WP_000052509.1,WP_000275928.1,WP_000535865.1,WP_000550370.1,WP_000567886.1,WP_000579360.1,WP_000580577.1,WP_000627059.1,WP_000651740.1,WP_000665193.1,WP_000686566.1,WP_000697351.1,WP_000723079.1,WP_000848826.1,WP_000897584.1,WP_001047906.1,WP_001117631.1,WP_001136119.1,WP_002076509.1,WP_002078520.1,WP_002099939.1,WP_002099940.1,WP_002099981.1,WP_002100003.1,WP_002108483.1,WP_002108484.1,WP_002108485.1,WP_002108487.1,WP_002108488.1,WP_002108502.1,WP_002108504.1,WP_002108506.1,WP_002108508.1,WP_002108525.1,WP_002108526.1,WP_002183331.1,WP_025180279.1,WP_025180280.1,WP_029781911.1,target
112_IZSLER,97.23,93.525,93.072,92.874,91.45320512820513,89.459,92.171,86.765,95.595,94.969,86.0466046511628,62.457404436860074,78.19552882205512,97.77,92.771,73.47625448028674,32.39442253521126,94.787,97.933,97.458,94.61880269058295,96.259,72.41351724137931,51.4018691588785,68.4927305936073,93.70064173228346,0.0,91.944,0.0,92.30736263736264,87.826,90.127,86.076,38.88924074074074,0.0,96.471,94.681,58.823264705882345,94.19,88.43,93.531,0
128024,100.0,100.0,100.0,100.0,100.0,99.73,100.0,99.51,100.0,100.0,95.34883720930233,99.829,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.254,100.0,100.0,100.0,100.0,99.526,99.722,82.2946786885246,100.0,99.71,99.682,99.578,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
128042,100.0,100.0,81.52456120092378,100.0,100.0,99.73,100.0,99.51,100.0,100.0,95.34883720930233,99.829,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.254,100.0,100.0,100.0,100.0,99.526,99.722,82.2946786885246,100.0,99.71,99.682,99.578,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
138065,100.0,100.0,100.0,100.0,100.0,99.73,100.0,99.51,100.0,100.0,95.34883720930233,99.829,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.254,100.0,100.0,100.0,100.0,99.526,99.722,82.2946786885246,100.0,99.71,99.682,99.578,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
148248,100.0,100.0,100.0,100.0,100.0,99.459,100.0,99.51,100.0,90.88020754716982,95.34883720930233,99.829,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.504,77.58606896551724,99.688,100.0,100.0,99.526,99.722,82.2946786885246,100.0,99.71,64.33095859872611,99.578,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
148250,100.0,100.0,100.0,100.0,100.0,99.73,100.0,99.51,100.0,100.0,95.34883720930233,99.829,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.254,100.0,100.0,65.29680365296804,100.0,99.526,99.722,82.2946786885246,100.0,99.71,99.682,99.578,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
148333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51,100.0,100.0,95.34883720930233,100.0,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.504,100.0,100.0,100.0,100.0,99.526,100.0,99.672,100.0,99.71,99.682,100.0,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
158128,100.0,100.0,100.0,100.0,100.0,99.73,100.0,99.51,100.0,100.0,95.34883720930233,99.829,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.504,100.0,100.0,100.0,100.0,99.526,99.722,82.2946786885246,100.0,99.71,99.682,99.578,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
158133,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51,100.0,100.0,95.34883720930233,100.0,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.504,100.0,100.0,100.0,100.0,99.526,100.0,99.672,100.0,99.71,99.682,100.0,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
158143,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51,100.0,100.0,95.34883720930233,100.0,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.504,100.0,100.0,100.0,100.0,99.526,100.0,99.672,100.0,99.71,99.682,100.0,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
168036,100.0,98.801,98.614,98.1,97.86324786324786,75.40556756756757,98.577,89.706,93.392,0.0,94.35244186046512,56.825887372013646,88.972,98.628,99.398,61.29056630824373,56.33787323943661,99.052,98.708,99.435,100.0,100.0,72.41403448275861,92.835,98.63,91.732,0.0,97.778,0.0,91.75796703296703,96.522,94.904,98.734,37.50044444444445,0.0,97.255,96.809,44.1175,99.824,92.562,97.203,0
172_IZSLER,96.953,93.765,93.072,72.684,93.16287606837606,90.541,75.445,88.725,95.595,94.654,85.71383720930233,62.286962457337886,67.66961403508772,98.285,91.867,38.70974910394265,52.11273239436619,95.261,98.45,97.74,95.96422869955157,96.509,72.41351724137931,51.4018691588785,68.03693150684931,93.70064173228346,0.0,90.833,0.0,11.538516483516483,83.76811594202898,91.083,85.65405907172996,38.425981481481486,0.0,95.686,95.035,93.627,94.014,88.843,93.531,0
178112,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51,100.0,100.0,95.34883720930233,100.0,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.504,100.0,100.0,100.0,100.0,99.526,100.0,99.672,100.0,99.71,99.682,100.0,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
178114,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51,100.0,100.0,95.34883720930233,100.0,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.254,100.0,100.0,100.0,100.0,99.526,100.0,82.2946786885246,100.0,99.71,99.682,99.578,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
178119,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51,100.0,100.0,95.34883720930233,100.0,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.254,100.0,100.0,100.0,100.0,99.526,100.0,82.2946786885246,100.0,99.71,99.682,99.578,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
178122,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51,100.0,100.0,95.34883720930233,100.0,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.254,100.0,100.0,100.0,100.0,99.526,100.0,82.2946786885246,100.0,99.71,99.682,99.578,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
188058,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51,100.0,100.0,95.34883720930233,100.0,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.504,100.0,100.0,100.0,100.0,99.526,100.0,99.672,100.0,99.71,99.682,100.0,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
188072,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51,100.0,100.0,95.34883720930233,100.0,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.254,100.0,100.0,100.0,100.0,99.526,100.0,82.2946786885246,100.0,99.71,99.682,99.578,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
188076,100.0,100.0,100.0,100.0,100.0,99.73,100.0,99.51,100.0,100.0,95.34883720930233,99.829,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.254,100.0,100.0,100.0,100.0,99.526,99.722,82.2946786885246,100.0,99.71,99.682,99.578,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
188083,100.0,100.0,100.0,100.0,100.0,99.73,100.0,99.51,100.0,100.0,95.34883720930233,99.829,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.254,100.0,100.0,100.0,100.0,99.526,99.722,82.2946786885246,100.0,99.71,99.682,99.578,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
188104,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51,100.0,100.0,95.34883720930233,100.0,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.254,100.0,100.0,100.0,100.0,99.526,100.0,82.2946786885246,100.0,99.71,99.682,99.578,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
198035,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51,100.0,100.0,95.34883720930233,100.0,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.254,100.0,100.0,100.0,100.0,99.526,100.0,82.2946786885246,100.0,99.71,99.682,99.578,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
198045,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51,100.0,100.0,95.34883720930233,100.0,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.254,100.0,100.0,100.0,100.0,99.526,100.0,82.2946786885246,100.0,99.71,99.682,99.578,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
198056,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.51,100.0,100.0,95.34883720930233,100.0,99.749,100.0,99.699,100.0,100.0,100.0,100.0,100.0,99.552,98.254,100.0,100.0,100.0,100.0,99.526,100.0,82.2946786885246,100.0,99.71,99.682,99.578,100.0,98.077,100.0,100.0,100.0,98.063,99.587,100.0,1
200112227,96.953,93.765,93.072,72.922,93.16287606837606,90.541,75.445,88.725,0.0,0.0,85.71383720930233,0.0,67.66961403508772,98.285,91.867,23.655913978494624,52.11273239436619,95.261,98.45,97.74,95.96422869955157,37.905236907730675,72.41351724137931,0.0,0.0,93.70064173228346,0.0,90.833,0.0,11.538516483516483,83.76811594202898,21.974347133757963,85.65405907172996,38.425981481481486,0.0,33.333019607843134,38.65230496453901,93.627,18.13367429577465,36.776450413223145,93.531,0
