WP_017214669.1	lcl|NZ_RQHI01000027.1_cds_WP_035983633.1_2407	61.538	78	106
WP_017214670.1	lcl|NZ_RQHI01000027.1_cds_WP_100716953.1_2404	80.323	310	314
WP_017214670.1	lcl|NZ_RQHI01000053.1_cds_WP_135630011.1_518	27.389	314	314
WP_017214670.1	lcl|NZ_RQHI01000053.1_cds_WP_100718697.1_491	25.157	318	314
WP_017214670.1	lcl|NZ_RQHI01000027.1_cds_WP_135697848.1_2405	23.137	255	314
WP_017214670.1	lcl|NZ_RQHI01000050.1_cds_WP_004788049.1_3625	23.404	188	314
WP_017214672.1	lcl|NZ_RQHI01000027.1_cds_WP_004788859.1_1995	33.065	124	185
WP_017214673.1	lcl|NZ_RQHI01000053.1_cds_WP_100718697.1_491	30.892	314	329
WP_017214673.1	lcl|NZ_RQHI01000027.1_cds_WP_135697848.1_2405	28.909	339	329
WP_017214673.1	lcl|NZ_RQHI01000053.1_cds_WP_100719192.1_1092	30.128	312	329
WP_017214673.1	lcl|NZ_RQHI01000050.1_cds_WP_004788049.1_3625	29.326	341	329
WP_017214673.1	lcl|NZ_RQHI01000053.1_cds_WP_135630011.1_518	27.244	312	329
WP_017214673.1	lcl|NZ_RQHI01000053.1_cds_WP_004787140.1_905	25.705	319	329
WP_017214673.1	lcl|NZ_RQHI01000053.1_cds_WP_135629813.1_833	31.890	254	329
WP_017214673.1	lcl|NZ_RQHI01000027.1_cds_WP_100716953.1_2404	24.684	316	329
WP_017214673.1	lcl|NZ_RQHI01000027.1_cds_WP_100734655.1_2352	26.217	267	329
WP_017214673.1	lcl|NZ_RQHI01000053.1_cds_WP_135630297.1_159	25.414	181	329
WP_017214673.1	lcl|NZ_RQHI01000053.1_cds_WP_135629806.1_841	25.279	269	329
WP_017214673.1	lcl|NZ_RQHI01000050.1_cds_WP_210412568.1_3636	24.675	308	329
WP_017214673.1	lcl|NZ_RQHI01000053.1_cds_WP_135630056.1_437	28.235	170	329
WP_017214674.1	lcl|NZ_RQHI01000027.1_cds_WP_020777677.1_2291	23.755	261	267
WP_017214674.1	lcl|NZ_RQHI01000027.1_cds_WP_100716951.1_2406	24.742	194	267
WP_017214674.1	lcl|NZ_RQHI01000053.1_cds_WP_100720616.1_984	26.901	171	267
WP_017214674.1	lcl|NZ_RQHI01000050.1_cds_WP_100719638.1_3624	27.835	194	267
WP_017214675.1	lcl|NZ_RQHI01000027.1_cds_WP_100734512.1_2017	24.012	329	510
WP_017214675.1	lcl|NZ_RQHI01000027.1_cds_WP_135610134.1_2018	28.302	106	510
WP_017214675.1	lcl|NZ_RQHI01000027.1_cds_WP_100734512.1_2017	24.012	329	510
WP_017214675.1	lcl|NZ_RQHI01000027.1_cds_WP_135610134.1_2018	28.302	106	510
WP_017214676.1	lcl|NZ_RQHI01000053.1_cds_WP_100719192.1_1092	24.820	278	330
WP_017214676.1	lcl|NZ_RQHI01000053.1_cds_WP_100718697.1_491	28.261	276	330
WP_017214676.1	lcl|NZ_RQHI01000053.1_cds_WP_135629813.1_833	31.330	233	330
WP_017214676.1	lcl|NZ_RQHI01000053.1_cds_WP_135630011.1_518	25.982	331	330
WP_017214676.1	lcl|NZ_RQHI01000053.1_cds_WP_135629806.1_841	25.591	254	330
WP_017214676.1	lcl|NZ_RQHI01000027.1_cds_WP_135697848.1_2405	25.914	301	330
WP_017214676.1	lcl|NZ_RQHI01000027.1_cds_WP_020777698.1_2403	30.469	128	330
WP_017214676.1	lcl|NZ_RQHI01000050.1_cds_WP_004788049.1_3625	23.762	303	330
WP_017214676.1	lcl|NZ_RQHI01000053.1_cds_WP_135630056.1_437	25.604	207	330
WP_017214676.1	lcl|NZ_RQHI01000053.1_cds_WP_135630297.1_159	30.263	152	330
WP_017214676.1	lcl|NZ_RQHI01000053.1_cds_WP_004787140.1_905	28.667	150	330
WP_017214678.1	lcl|NZ_RQHI01000053.1_cds_WP_100718239.1_1370	37.109	256	264
WP_017214678.1	lcl|NZ_RQHI01000035.1_cds_WP_135630573.1_3084	23.333	300	264
WP_020981179.1	lcl|NZ_RQHI01000053.1_cds_WP_135630198.1_253	35.880	301	310
WP_020981179.1	lcl|NZ_RQHI01000035.1_cds_WP_135630573.1_3084	30.547	311	310
WP_020981179.1	lcl|NZ_RQHI01000027.1_cds_WP_100721131.1_1929	24.809	262	310
WP_020981179.1	lcl|NZ_RQHI01000053.1_cds_WP_135630198.1_253	35.880	301	310
WP_020981179.1	lcl|NZ_RQHI01000035.1_cds_WP_135630573.1_3084	30.547	311	310
WP_020981179.1	lcl|NZ_RQHI01000027.1_cds_WP_100721131.1_1929	24.809	262	310
WP_017214683.1	lcl|NZ_RQHI01000035.1_cds_WP_100719505.1_3108	42.857	56	144
WP_017214684.1	lcl|NZ_RQHI01000050.1_cds_WP_135631157.1_3691	29.293	99	221
WP_017214685.1	lcl|NZ_RQHI01000053.1_cds_WP_100720616.1_984	24.757	206	260
WP_017214686.1	lcl|NZ_RQHI01000053.1_cds_WP_135630011.1_518	25.513	341	374
WP_017214686.1	lcl|NZ_RQHI01000027.1_cds_WP_135697848.1_2405	25.284	352	374
WP_017214686.1	lcl|NZ_RQHI01000053.1_cds_WP_004787140.1_905	25.519	337	374
WP_017214686.1	lcl|NZ_RQHI01000050.1_cds_WP_004788049.1_3625	21.000	300	374
