Strain,WP_000007540.1,WP_000045938.1,WP_000050434.1,WP_000132018.1,WP_000231290.1,WP_000275679.1,WP_000284355.1,WP_000406134.1,WP_000432947.1,WP_000547460.1,WP_000549981.1,WP_000579813.1,WP_000600954.1,WP_000601375.1,WP_000661931.1,WP_000675255.1,WP_000715958.1,WP_000799637.1,WP_000823146.1,WP_000834719.1,WP_000848236.1,WP_000947841.1,WP_001052314.1,WP_001084686.1,WP_001206408.1,WP_002115390.1,WP_002115474.1,WP_061294270.1,target
012K,79.09395470383275,0.0,83.38658146964856,85.08800877192982,8.080924242424242,68.26943750000001,0.0,0.0,95.385,0.0,79.545,33.65044761904762,33.20712452830188,79.495,21.875171875,66.56586144578313,94.65645801526716,36.62005633802817,88.88923772609819,44.62832727272727,36.25470119521912,36.43449612403101,0.0,72.39043771043771,18.852418032786883,31.906206225680933,89.54689895470383,80.00022537313433,0
028K,79.09395470383275,0.0,83.38658146964856,85.08800877192982,8.080924242424242,68.26943750000001,0.0,0.0,95.385,0.0,79.545,33.65044761904762,33.20712452830188,79.495,21.875171875,66.56586144578313,94.65645801526716,36.62005633802817,88.88923772609819,44.62832727272727,36.25470119521912,36.43449612403101,0.0,72.39043771043771,18.852418032786883,31.906206225680933,89.54689895470383,56.11949701492537,0
080K,79.09395470383275,0.0,83.38658146964856,85.08800877192982,8.080924242424242,68.26943750000001,0.0,0.0,95.385,0.0,79.545,33.65044761904762,33.20712452830188,79.495,21.875171875,66.56586144578313,94.65645801526716,36.62005633802817,88.88923772609819,44.62832727272727,36.25470119521912,36.43449612403101,0.0,72.39043771043771,18.852418032786883,31.906206225680933,89.54689895470383,80.00022537313433,0
138034,94.425,99.36502698412698,99.681,97.368,98.99,53.36561538461538,99.234,0.0,100.0,94.064,98.722,32.380876190476194,98.868,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,98.805,95.607,0.0,98.99,20.491868852459017,97.276,98.60622299651567,98.955,0
1530d,94.077,99.36502698412698,99.681,96.93,19.696828282828285,72.11522836538462,0.0,0.0,100.0,86.30159360730593,98.722,96.5079365079365,98.868,99.685,99.062,100.0,99.23699999999998,99.296,96.124,99.504,99.203,95.866,100.0,99.327,99.59,96.887,98.25744250871081,99.104,0
158145,94.425,99.36502698412698,99.681,97.368,98.99,53.36561538461538,99.234,0.0,100.0,94.064,98.722,32.380876190476194,98.868,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,98.805,95.607,0.0,98.99,20.491868852459017,97.276,98.60622299651567,98.955,0
168079,94.425,99.36502698412698,99.681,97.368,98.99,53.36561538461538,99.234,0.0,100.0,94.064,98.722,32.380876190476194,98.868,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,98.805,95.607,0.0,98.99,20.491868852459017,97.276,98.60622299651567,98.955,0
168148,94.425,99.36502698412698,99.681,97.368,98.99,53.36561538461538,99.234,0.0,100.0,94.064,98.722,32.380876190476194,98.868,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,98.805,95.607,0.0,99.327,20.491868852459017,97.276,98.60622299651567,98.955,0
178047,94.425,99.36502698412698,99.681,97.368,98.99,53.36561538461538,86.97349808429118,0.0,100.0,94.064,98.722,32.380876190476194,98.868,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,98.805,95.607,0.0,99.327,20.491868852459017,97.276,98.60622299651567,98.955,0
178101,94.425,99.36502698412698,99.681,97.368,98.99,53.36561538461538,99.234,0.0,100.0,94.064,98.722,32.380876190476194,98.868,99.685,99.375,100.0,100.0,35.91537323943662,96.641,43.63619834710743,98.805,95.607,0.0,99.327,20.491868852459017,97.276,98.60622299651567,98.955,0
